rooms,total_area,living_area,floor,kitchen_area,airports_nearest,cityCenters_nearest,last_price
3,108.0,51.0,8,25.0,18863.0,16028.0,13000000.0
1,40.4,18.6,1,11.0,12817.0,18603.0,3350000.0
2,56.0,34.3,4,8.3,21741.0,13933.0,5196000.0
2,100.0,32.0,13,41.0,31856.0,8098.0,10000000.0
1,37.3,10.6,6,14.4,52996.0,19143.0,3700000.0
3,61.0,43.6,7,6.5,50898.0,15008.0,5400000.0
1,39.6,20.3,3,8.5,38357.0,13878.0,5050000.0
2,44.0,31.0,4,6.0,48252.0,51677.0,3300000.0
2,42.8,27.0,5,5.2,37868.0,33058.0,3550000.0
1,36.0,17.0,1,8.0,20782.0,30759.0,4400000.0
1,39.0,20.5,5,7.6,12900.0,14259.0,4650000.0
3,82.0,55.6,1,9.0,22108.0,10698.0,6700000.0
1,36.0,16.5,7,11.0,33564.0,14616.0,4180000.0
1,31.0,19.4,2,5.6,44060.0,10842.0,3250000.0
3,121.0,76.0,8,12.0,38900.0,12843.0,14200000.0
3,80.0,48.0,11,12.0,53134.0,19311.0,6120000.0
1,31.6,16.9,2,5.7,36064.0,9722.0,3200000.0
1,32.0,17.7,9,6.1,15414.0,14211.0,2950000.0
2,97.2,46.5,1,19.6,20052.0,2336.0,6500000.0
2,76.0,39.0,18,15.0,34967.0,14640.0,6800000.0
4,60.0,43.0,4,7.0,11580.0,10510.0,4050000.0
3,70.0,49.0,11,9.2,29197.0,11456.0,7100000.0
1,44.0,20.8,1,11.7,18557.0,30710.0,4170000.0
3,100.0,52.0,15,11.0,30394.0,11526.0,8600000.0
2,67.9,38.1,4,13.4,32888.0,12944.0,7200000.0
3,60.0,39.0,4,6.0,11349.0,12889.0,4990000.0
4,73.0,51.6,5,6.5,26535.0,32321.0,4800000.0
1,33.0,14.0,3,8.0,13943.0,12739.0,3290000.0
5,149.0,104.0,4,17.0,23670.0,3502.0,15500000.0
2,45.0,27.0,9,6.3,49574.0,16461.0,3790000.0
2,54.4,29.7,2,8.8,13413.0,12209.0,5200000.0
1,36.0,15.0,22,10.0,52996.0,19143.0,3590000.0
3,74.0,59.0,8,12.0,37715.0,12612.0,7900000.0
4,161.8,80.9,2,17.6,35416.0,30605.0,22000000.0
2,48.0,28.0,4,7.5,15016.0,10822.0,9330000.0
2,50.6,30.3,7,7.0,30011.0,12872.0,5200000.0
2,52.1,29.7,9,8.3,15114.0,12702.0,6600000.0
1,33.83,15.35,6,9.5,21460.0,16788.0,3600000.0
1,30.8,18.0,7,6.0,45341.0,16603.0,3050000.0
1,48.2,25.4,4,9.0,19841.0,30183.0,4500000.0
3,161.0,38.0,4,50.0,32537.0,6589.0,45000000.0
6,136.0,94.0,2,11.0,16510.0,6582.0,11795000.0
1,39.1,15.4,13,15.5,52611.0,18783.0,4300000.0
1,36.5,14.0,6,12.0,33331.0,14495.0,3320000.0
2,58.8,33.7,9,10.7,10643.0,12260.0,7400000.0
1,41.0,18.1,4,11.1,13772.0,9626.0,4350000.0
1,45.0,17.0,10,12.0,13097.0,18883.0,3200000.0
1,33.0,19.0,5,7.0,12988.0,15579.0,3900000.0
2,74.0,43.0,4,20.0,22568.0,4288.0,7990000.0
3,118.0,68.0,7,16.0,26055.0,4800.0,20000000.0
3,57.0,39.0,2,7.0,35361.0,10484.0,4400000.0
1,31.0,15.4,4,7.2,47675.0,51100.0,2550000.0
1,30.0,16.0,1,7.0,39053.0,8313.0,3400000.0
3,57.5,39.0,8,6.2,33623.0,12267.0,4850000.0
2,55.0,35.5,2,7.5,68258.0,49984.0,4500000.0
3,73.8,44.8,1,10.4,53817.0,23742.0,4750000.0
1,34.0,19.0,8,7.1,26765.0,32551.0,2350000.0
2,44.0,21.0,19,15.0,15749.0,14545.0,4950000.0
3,62.1,43.5,1,7.3,19646.0,15572.0,4300000.0
1,37.0,18.0,6,10.7,34324.0,14192.0,4350000.0
1,41.4,16.5,20,10.2,53554.0,19107.0,4200000.0
2,46.3,27.8,5,8.0,13334.0,9319.0,5200000.0
2,63.0,36.0,3,9.0,26128.0,27825.0,4500000.0
2,52.0,30.0,6,9.0,12444.0,15035.0,4999000.0
3,67.7,40.0,4,8.0,32668.0,13832.0,6450000.0
1,40.4,20.0,7,10.0,32574.0,11648.0,3500000.0
1,29.5,15.6,2,5.5,12921.0,7303.0,3500000.0
2,47.0,28.1,9,7.0,10142.0,13743.0,5150000.0
3,78.3,51.0,9,11.0,52108.0,16333.0,8780000.0
3,80.0,55.1,3,11.0,11248.0,8767.0,11700000.0
4,90.0,67.0,2,8.0,23277.0,2818.0,9600000.0
1,38.6,18.0,6,8.4,36450.0,13364.0,3800000.0
1,33.0,18.0,2,6.2,49214.0,16140.0,3700000.0
1,35.0,17.0,9,9.0,42499.0,9719.0,4800000.0
4,77.2,61.0,1,6.0,12403.0,10787.0,6900000.0
1,32.0,15.0,5,9.0,52480.0,15598.0,4900000.0
5,124.1,79.4,3,20.0,26825.0,5527.0,10500000.0
4,101.0,73.0,3,9.0,20746.0,32900.0,11000000.0
3,80.0,46.0,7,11.0,35958.0,9860.0,9490000.0
2,62.5,35.5,5,9.5,14517.0,26670.0,7497600.0
1,40.0,18.0,1,10.0,20062.0,6175.0,4590000.0
3,78.0,45.4,27,10.8,53134.0,19311.0,5750000.0
1,21.4,8.3,7,6.3,27089.0,5791.0,4000000.0
2,42.0,27.0,4,6.5,43019.0,8535.0,3850000.0
3,84.7,55.9,4,8.4,37889.0,9816.0,8520000.0
1,31.0,17.0,4,5.0,35445.0,9089.0,4500000.0
3,67.0,42.5,2,8.2,37836.0,12250.0,6200000.0
1,30.9,16.7,1,6.0,68997.0,50722.0,2500000.0
3,180.0,86.0,8,24.0,25689.0,4264.0,33000000.0
1,48.0,14.0,5,23.8,16951.0,15747.0,4300000.0
3,87.8,45.1,3,24.0,32746.0,13845.0,12490000.0
3,65.9,48.5,8,6.3,44855.0,17093.0,4800000.0
2,51.0,30.5,1,6.6,17974.0,32546.0,4050000.0
2,55.0,31.9,3,8.3,31398.0,11990.0,6210000.0
1,31.0,19.5,1,5.0,48649.0,52073.0,2500000.0
1,32.0,18.0,3,8.0,49587.0,16425.0,3200000.0
1,33.0,19.0,7,6.0,45332.0,48757.0,2699000.0
1,33.7,15.1,3,7.3,35452.0,15458.0,3800000.0
1,48.0,20.5,1,17.0,57998.0,34928.0,3990000.0
2,51.8,25.6,2,7.3,20502.0,3618.0,6500000.0
2,85.1,31.52,5,26.85,31460.0,4263.0,13310800.0
2,40.0,29.0,2,6.0,23371.0,2913.0,4800000.0
2,105.7,48.4,1,15.4,14352.0,26506.0,16912000.0
1,32.6,18.5,5,5.5,24764.0,5448.0,6500000.0
1,30.0,20.0,9,5.6,30067.0,6262.0,2990000.0
2,77.0,40.0,5,10.0,30012.0,7384.0,8290000.0
2,53.6,29.2,10,7.8,60883.0,36102.0,4400000.0
5,179.6,97.2,25,33.8,19424.0,4489.0,27700000.0
1,35.5,17.0,20,9.0,36688.0,11841.0,4790000.0
2,53.0,31.5,6,7.6,10128.0,12247.0,5300000.0
2,45.0,29.0,3,6.0,39793.0,9052.0,3900000.0
3,81.22,42.9,10,12.72,17755.0,16576.0,8090000.0
2,55.0,31.2,2,8.3,45958.0,34425.0,4350000.0
3,80.0,44.2,2,12.2,20562.0,3167.0,8200000.0
2,80.0,34.0,19,19.0,34967.0,14640.0,10990000.0
2,75.75,40.61,3,15.0,51531.0,14184.0,7250000.0
3,66.0,37.8,4,11.0,26235.0,4937.0,7050000.0
1,41.9,15.4,7,12.4,18240.0,30245.0,3300000.0
1,42.9,18.9,8,7.9,43269.0,13145.0,5000000.0
3,66.0,48.0,9,6.3,45589.0,17018.0,5600000.0
3,67.4,40.1,6,10.3,33745.0,14844.0,6500000.0
1,35.1,15.9,1,9.8,22314.0,17642.0,3750000.0
3,85.0,51.8,17,17.5,16057.0,14853.0,6180000.0
2,49.0,38.0,8,10.0,18471.0,24272.0,3800000.0
3,97.9,57.7,3,14.7,14069.0,12621.0,11000000.0
1,52.56,15.36,2,20.91,43396.0,12153.0,7835000.0
4,154.9,89.11,3,21.3,37434.0,8460.0,21042018.0
3,108.7,72.4,5,8.0,23017.0,2559.0,14800000.0
1,31.7,17.9,2,5.6,10709.0,10933.0,3850000.0
3,71.8,38.7,1,12.0,22036.0,3301.0,7900000.0
3,60.0,44.1,1,6.0,26090.0,29514.0,3400000.0
2,43.8,27.7,2,5.5,31458.0,33170.0,3000000.0
1,30.2,26.1,5,6.2,13952.0,15031.0,2600000.0
1,49.9,18.9,14,10.6,12114.0,8946.0,8500000.0
2,65.2,30.8,4,12.0,39197.0,12373.0,11640000.0
2,52.3,29.8,4,10.9,32794.0,13643.0,4300000.0
3,62.0,41.5,5,8.5,41954.0,12168.0,6150000.0
3,62.8,39.7,2,9.7,12988.0,15579.0,5200000.0
3,55.8,38.0,2,7.7,19386.0,16606.0,6400000.0
4,83.8,55.9,9,9.8,30352.0,7724.0,7920000.0
3,85.0,50.0,1,11.0,15923.0,14719.0,7700000.0
1,57.0,20.0,5,16.0,17462.0,16465.0,8715960.0
3,98.3,60.3,11,12.5,48910.0,52334.0,9150000.0
6,123.1,89.0,2,11.0,26009.0,3369.0,10880000.0
3,67.0,43.4,1,8.8,15361.0,14157.0,4700000.0
1,34.1,14.47,12,10.4,18488.0,15945.0,3999000.0
2,44.2,27.0,3,6.3,46926.0,50351.0,3600000.0
1,30.6,17.4,4,5.7,31366.0,33078.0,1980000.0
1,31.3,16.0,4,7.6,27753.0,6692.0,5080000.0
2,72.6,43.2,4,11.4,22794.0,1645.0,9000000.0
2,45.0,27.4,4,8.6,42566.0,15070.0,4700000.0
2,58.5,28.73,7,11.24,18309.0,30317.0,4300000.0
2,54.0,31.0,10,11.0,7659.0,13841.0,8000000.0
3,82.0,47.0,9,13.0,9655.0,13255.0,10018000.0
4,111.4,73.2,2,14.1,20936.0,1218.0,8700000.0
2,50.41,31.1,8,7.0,41954.0,12168.0,4150000.0
2,65.6,36.7,10,10.9,11657.0,11992.0,6700000.0
4,79.0,55.3,6,10.0,49666.0,16010.0,6550000.0
1,35.0,16.0,15,9.8,36237.0,13151.0,4690000.0
1,58.7,17.0,3,15.7,24102.0,4670.0,7700000.0
1,37.0,28.0,6,9.0,25408.0,16166.0,3890000.0
2,43.0,28.0,1,6.0,19775.0,31929.0,3750000.0
2,59.6,31.48,17,13.29,43074.0,10820.0,5950000.0
4,86.4,52.7,1,12.7,31729.0,2468.0,7950000.0
3,74.3,41.9,3,16.5,43820.0,10987.0,7290000.0
1,34.3,14.73,7,9.36,22425.0,24137.0,3250000.0
3,56.9,38.8,8,6.2,32350.0,12943.0,4250000.0
1,42.2,14.7,4,10.4,23239.0,12102.0,3900000.0
3,118.0,62.0,3,21.5,36827.0,12348.0,19800000.0
2,57.0,33.0,3,8.0,26852.0,5700.0,7820000.0
2,60.0,37.8,1,9.0,25670.0,31456.0,4000000.0
1,35.8,20.3,2,7.7,46532.0,16030.0,3650000.0
3,119.0,56.0,3,35.0,21698.0,2004.0,22000000.0
2,42.0,27.0,2,6.0,11944.0,13619.0,4700000.0
2,55.0,29.0,6,10.0,41841.0,11838.0,7990000.0
2,57.0,29.0,5,10.0,9226.0,12619.0,7250000.0
2,57.1,29.5,4,9.0,9774.0,10315.0,6850000.0
1,46.4,18.0,5,11.5,9968.0,13344.0,6000000.0
2,52.5,29.5,11,7.5,13787.0,11753.0,4500000.0
3,70.5,44.9,9,10.5,25594.0,29018.0,5000000.0
1,43.0,17.0,11,12.5,39771.0,8672.0,5000000.0
1,37.0,19.0,4,10.0,47303.0,25866.0,3340000.0
1,31.2,15.6,9,8.2,46911.0,16431.0,3350000.0
3,65.6,42.8,2,9.5,12975.0,15566.0,5350000.0
3,102.4,53.2,3,19.3,39393.0,11096.0,17250000.0
4,158.0,88.0,4,40.0,25799.0,4593.0,37500000.0
2,140.6,39.8,7,49.2,32537.0,6589.0,39900000.0
1,37.9,17.8,6,8.3,14286.0,15280.0,3930000.0
3,120.0,63.0,18,16.0,39204.0,10430.0,14700000.0
3,60.1,43.0,1,7.0,28530.0,14249.0,4200000.0
1,34.0,18.0,8,8.0,32831.0,13995.0,3700000.0
